lat,lon,elevation_m,depth_m
34.90017986,-117.80000000,695.0000,0.0000
34.90017087,-117.80000000,695.0060,-0.0060
34.90016188,-117.80000000,694.9945,0.0055
34.90015288,-117.80000000,694.9822,0.0178
34.90014389,-117.80000000,694.9909,0.0091
34.90013490,-117.80000000,694.9802,0.0199
34.90012591,-117.80000000,695.0012,-0.0012
34.90011691,-117.80000000,695.0268,-0.0269
34.90010792,-117.80000000,694.9902,0.0096
34.90009893,-117.80000000,694.9876,0.0120
34.90008993,-117.80000000,695.0098,-0.0104
34.90008094,-117.80000000,695.0071,-0.0085
34.90007195,-117.80000000,695.0021,-0.0053
34.90006295,-117.80000000,694.9814,0.0151
34.90005396,-117.80000000,694.9994,-0.0029
34.90004497,-117.80000000,695.0139,-0.0177
34.90003597,-117.80000000,694.9731,0.0222
34.90002698,-117.80000000,694.9908,0.0042
34.90001799,-117.80000000,694.9620,0.0333
34.90000899,-117.80000000,694.9742,0.0217
34.90000000,-117.80000000,694.9632,0.0327
34.89999101,-117.80000000,694.9953,0.0010
34.89998201,-117.80000000,694.9747,0.0216
34.89997302,-117.80000000,695.0054,-0.0101
34.89996403,-117.80000000,695.0031,-0.0069
34.89995503,-117.80000000,694.9963,0.0001
34.89994604,-117.80000000,694.9497,0.0468
34.89993705,-117.80000000,694.9892,0.0076
34.89992805,-117.80000000,694.9990,-0.0026
34.89991906,-117.80000000,695.0023,-0.0049
34.89991007,-117.80000000,694.9694,0.0282
34.89990107,-117.80000000,694.9904,0.0068
34.89989208,-117.80000000,694.9804,0.0173
34.89988309,-117.80000000,694.9838,0.0148
34.89987409,-117.80000000,695.0212,-0.0222
34.89986510,-117.80000000,694.9838,0.0155
34.89985611,-117.80000000,694.9993,0.0005
34.89984712,-117.80000000,695.0177,-0.0167
34.89983812,-117.80000000,694.9883,0.0139
34.89982913,-117.80000000,694.9978,0.0044
34.89982014,-117.80000000,695.0022,0.0000
34.90017986,-117.79998903,695.0013,-0.0013
34.90017087,-117.79998903,694.9755,0.0245
34.90016188,-117.79998903,695.0015,-0.0015
34.90015288,-117.79998903,695.0272,-0.0272
34.90014389,-117.79998903,694.9691,0.0310
34.90013490,-117.79998903,695.0172,-0.0172
34.90012591,-117.79998903,695.0024,-0.0024
34.90011691,-117.79998903,694.9872,0.0127
34.90010792,-117.79998903,695.0400,-0.0401
34.90009893,-117.79998903,695.0152,-0.0154
34.90008993,-117.79998903,694.9760,0.0234
34.90008094,-117.79998903,695.0015,-0.0026
34.90007195,-117.79998903,695.0115,-0.0144
34.90006295,-117.79998903,694.9962,0.0006
34.90005396,-117.79998903,695.0137,-0.0168
34.90004497,-117.79998903,694.9987,-0.0024
34.90003597,-117.79998903,695.0133,-0.0180
34.90002698,-117.79998903,695.0288,-0.0335
34.90001799,-117.79998903,694.9865,0.0088
34.90000899,-117.79998903,695.0041,-0.0080
34.90000000,-117.79998903,694.9907,0.0053
34.89999101,-117.79998903,695.0025,-0.0063
34.89998201,-117.79998903,694.9763,0.0200
34.89997302,-117.79998903,694.9884,0.0070
34.89996403,-117.79998903,694.9961,0.0002
34.89995503,-117.79998903,695.0180,-0.0215
34.89994604,-117.79998903,695.0229,-0.0261
34.89993705,-117.79998903,694.9735,0.0234
34.89992805,-117.79998903,694.9841,0.0127
34.89991906,-117.79998903,695.0129,-0.0156
34.89991007,-117.79998903,694.9602,0.0375
34.89990107,-117.79998903,694.9907,0.0066
34.89989208,-117.79998903,694.9981,-0.0003
34.89988309,-117.79998903,695.0251,-0.0265
34.89987409,-117.79998903,695.0138,-0.0148
34.89986510,-117.79998903,694.9935,0.0059
34.89985611,-117.79998903,694.9926,0.0073
34.89984712,-117.79998903,694.9950,0.0061
34.89983812,-117.79998903,695.0305,-0.0283
34.89982913,-117.79998903,694.9914,0.0108
34.89982014,-117.79998903,694.9939,0.0083
34.90017986,-117.79997807,695.0071,-0.0070
34.90017087,-117.79997807,694.9976,0.0024
34.90016188,-117.79997807,694.9961,0.0040
34.90015288,-117.79997807,694.9777,0.0223
34.90014389,-117.79997807,694.9998,0.0003
34.90013490,-117.79997807,694.9911,0.0089
34.90012591,-117.79997807,695.0233,-0.0233
34.90011691,-117.79997807,695.0131,-0.0132
34.90010792,-117.79997807,694.9995,0.0004
34.90009893,-117.79997807,695.0134,-0.0136
34.90008993,-117.79997807,694.9932,0.0062
34.90008094,-117.79997807,695.0210,-0.0222
34.90007195,-117.79997807,694.9999,-0.0024
34.90006295,-117.79997807,695.0117,-0.0145
34.90005396,-117.79997807,694.9742,0.0230
34.90004497,-117.79997807,695.0069,-0.0107
34.90003597,-117.79997807,694.9662,0.0297
