lat,lon,elevation_m,depth_m
34.90012718,-117.80015507,695.0000,0.0000
34.90012082,-117.80014732,695.0060,0.0093
34.90011446,-117.80013957,694.9945,0.0055
34.90010811,-117.80013181,694.9822,0.0177
34.90010175,-117.80012406,694.9909,0.0090
34.90009539,-117.80011630,694.9802,0.0194
34.90008903,-117.80010855,695.0012,-0.0016
34.90008267,-117.80010080,695.0268,-0.0272
34.90007631,-117.80009304,694.9902,-0.0155
34.90006995,-117.80008529,694.9876,0.0118
34.90006359,-117.80007754,695.0098,-0.0107
34.90005723,-117.80006978,695.0071,-0.0085
34.90005087,-117.80006203,695.0021,-0.0049
34.90004451,-117.80005428,694.9814,0.0145
34.90003815,-117.80004652,694.9994,-0.0049
34.90003180,-117.80003877,695.0139,-0.0118
34.90002544,-117.80003101,694.9731,0.0211
34.90001908,-117.80002326,694.9908,0.0030
34.90001272,-117.80001551,694.9620,0.0318
34.90000636,-117.80000775,694.9742,0.0191
34.90000000,-117.80000000,694.9632,0.0301
34.89999364,-117.79999225,694.9953,-0.0014
34.89998728,-117.79998449,694.9747,0.0193
34.89998092,-117.79997674,695.0054,-0.0116
34.89997456,-117.79996899,695.0031,-0.0092
34.89996820,-117.79996123,694.9963,-0.0118
34.89996185,-117.79995348,694.9497,0.0456
34.89995549,-117.79994572,694.9892,0.0062
34.89994913,-117.79993797,694.9990,-0.0033
34.89994277,-117.79993022,695.0023,-0.0070
34.89993641,-117.79992246,694.9694,0.0258
34.89993005,-117.79991471,694.9904,0.0050
34.89992369,-117.79990696,694.9804,0.0061
34.89991733,-117.79989920,694.9838,0.0108
34.89991097,-117.79989145,695.0212,-0.0256
34.89990461,-117.79988370,694.9838,0.0122
34.89989825,-117.79987594,694.9993,-0.0031
34.89989189,-117.79986819,695.0177,-0.0211
34.89988554,-117.79986043,694.9883,0.0087
34.89987918,-117.79985268,694.9978,0.0030
34.89987282,-117.79984493,695.0022,-0.0046
34.90013354,-117.80014732,695.0013,-0.0013
34.90012718,-117.80013957,694.9755,0.0093
34.90012082,-117.80013181,695.0015,-0.0015
34.90011446,-117.80012406,695.0272,-0.0273
34.90010811,-117.80011630,694.9691,0.0068
34.90010175,-117.80010855,695.0172,0.0068
34.90009539,-117.80010080,695.0024,-0.0028
34.90008903,-117.80009304,694.9872,0.0124
34.90008267,-117.80008529,695.0400,-0.0155
34.90007631,-117.80007754,695.0152,-0.0158
34.90006995,-117.80006978,694.9760,0.0234
34.90006359,-117.80006203,695.0015,-0.0080
34.90005723,-117.80005428,695.0115,-0.0080
34.90005087,-117.80004652,694.9962,0.0008
34.90004451,-117.80003877,695.0137,-0.0178
34.90003815,-117.80003101,694.9987,-0.0118
34.90003180,-117.80002326,695.0133,-0.0188
34.90002544,-117.80001551,695.0288,-0.0347
